sample,host_genotype,Maternal_plant
s1A,Afghanistan collection,A
s2A,Afghanistan collection,A
s3A,Afghanistan collection,A
s4A,Afghanistan collection,A
s5A,Afghanistan collection,A
s6A,Afghanistan collection,A
s7A,Afghanistan collection,A
s1B,Afghanistan collection,B
s2B,Afghanistan collection,B
s3B,Afghanistan collection,B
s4B,Afghanistan collection,B
s5B,Afghanistan collection,B
s6B,Afghanistan collection,B
s7B,Afghanistan collection,B
s1C,Afghanistan collection,C
s2C,Afghanistan collection,C
s3C,Afghanistan collection,C
s4C,Afghanistan collection,C
s5C,Afghanistan collection,C
s6C,Afghanistan collection,C
s7C,Afghanistan collection,C
s1D,Afghanistan collection,D
s2D,Afghanistan collection,D
s3D,Afghanistan collection,D
s4D,Afghanistan collection,D
s5D,Afghanistan collection,D
s6D,Afghanistan collection,D
s7D,Afghanistan collection,D
s1E,Afghanistan collection,E
s2E,Afghanistan collection,E
s3E,Afghanistan collection,E
s4E,Afghanistan collection,E
s5E,Afghanistan collection,E
s6E,Afghanistan collection,E
s7E,Afghanistan collection,E
s1F,Turkey collection,F
s2F,Turkey collection,F
s3F,Turkey collection,F
s4F,Turkey collection,F
s5F,Turkey collection,F
s6F,Turkey collection,F
s7F,Turkey collection,F
s1G,Turkey collection,G
s2G,Turkey collection,G
s3G,Turkey collection,G
s4G,Turkey collection,G
s5G,Turkey collection,G
s6G,Turkey collection,G
s7G,Turkey collection,G
s1H,Turkey collection,H
s2H,Turkey collection,H
s3H,Turkey collection,H
s4H,Turkey collection,H
s5H,Turkey collection,H
s6H,Turkey collection,H
s7H,Turkey collection,H
s1J,Turkey collection,J
s2J,Turkey collection,J
s3J,Turkey collection,J
s4J,Turkey collection,J
s5J,Turkey collection,J
s6J,Turkey collection,J
s7J,Turkey collection,J
s1I,Turkey collection,I
s2I,Turkey collection,I
s3I,Turkey collection,I
s4I,Turkey collection,I
s5I,Turkey collection,I
s6I,Turkey collection,I
s7I,Turkey collection,I
